# The generic SLMP device table. Family-neutral: which of these a given CPU actually
# HAS lives in ranges_iqf.tsv / ranges_iqr.tsv, and the iQ-F octal override for X and Y
# lives in the profile, not here. `radix` is the DEFAULT radix of the device number as
# SH(NA)-080956ENG documents it for iQ-R/Q/L.
#
# unit            bit | word. words_per_point is 2 for the long (dword) devices, so a
#                 single LTN/LSTN/LCN/LZ point spans two words of response.
# min_spec        short = reachable with subcommand 0000/0001 (1-byte code, 3-byte
#                 number). long = only reachable with 0002/0003 (2-byte code, 4-byte
#                 number), which an FX5U rejects outright with 0xC059 (measured).
# code_short      the 1-byte binary device code. code_long is the 2-byte form.
# ascii2/ascii4   the ASCII MNEMONIC, padded with '*' (0x2A). ASCII never sends the hex
#                 of the code: D is "D*"/"D***", never "A8".
# random_ok       false for the contacts and coils. FX5-SLMP p.78 says Read Random must
#                 not be used with them and predicts CPU error 0x4032 -- but an
#                 FX5U-32MT/DS fw 1.065 ACCEPTED a TS0 word point and answered 0x0000
#                 with data. This column is therefore load-bearing client-side
#                 validation, not a restatement of what the PLC will refuse.
# batch_ok        false for the long timer / long retentive timer / long index devices,
#                 which have no meaningful batch (word-unit) reading.
name	long_name	unit	words_per_point	ascii2	ascii4	code_short	code_long	radix	min_spec	batch_ok	random_ok	monitor_ok	block_ok	provenance	cpu	firmware	measured	manual	revision	section	note
SM	Special relay	bit	1	SM	SM**	0x91	0x0091	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	
SD	Special register	word	1	SD	SD**	0xA9	0x00A9	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	SD203 carries the CPU operating status (0 RUN, 1 STEP-RUN, 2 STOP, 3 PAUSE) and is what verify=True reads back.
X	Input	bit	1	X*	X***	0x9C	0x009C	hexadecimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	Hexadecimal on iQ-R/Q/L. OCTAL on iQ-F, where the wire number is the LINEAR index of the octal literal (measured); the profile overrides the radix. See A-IQF-XY.
Y	Output	bit	1	Y*	Y***	0x9D	0x009D	hexadecimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	Hexadecimal on iQ-R/Q/L. OCTAL on iQ-F; GX Works3 Y20 goes on the wire as 16 (measured). See A-IQF-XY.
M	Internal relay	bit	1	M*	M***	0x90	0x0090	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	Local devices are not accessible over SLMP.
L	Latch relay	bit	1	L*	L***	0x92	0x0092	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	
F	Annunciator	bit	1	F*	F***	0x93	0x0093	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	
V	Edge relay	bit	1	V*	V***	0x94	0x0094	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	Local devices are not accessible. Absent on iQ-F: V0 returned 0xC05C on FX5U-32MT/DS fw 1.065.
B	Link relay	bit	1	B*	B***	0xA0	0x00A0	hexadecimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	
D	Data register	word	1	D*	D***	0xA8	0x00A8	decimal	short	yes	yes	yes	yes	manual				SH(NA)-080956ENG	M	5.2 p.35-36	Local devices are not accessible.
