# The 3E/4E end-code table. One row per code; the EXCEPTION CLASS NAMES are hand-written
# public API in aslmp/errors/__init__.py and are referenced here by name, because people
# put them in except clauses and generated class names drift.
#
# tools/gen_endcodes.py turns this file into aslmp/errors/endcodes.py as a committed
# literal mapping. Nothing parses a TSV at run time, and the error path in particular
# cannot afford to.
#
# An empty exception_class means the code has no dedicated subclass and raises the base
# SlmpEndCodeError carrying this row's text. A code that is NOT in this table still
# raises a named class -- SlmpEndCodeError with description 'undocumented end code', the
# code formatted 0x%04X, and a line asking for a report naming the CPU model and
# firmware. Never a bare integer, never a stringified decimal.
#
# On the wire the end code is little-endian in binary (0xC059 goes out as 59 C0) and
# four upper-case hex characters in ASCII.
#
# provenance=live rows were observed on the named CPU and firmware. Three of them are
# CORRECTIONS to what the manuals led us to expect (0xC05C, 0xC052, 0xC061) and their
# notes say what the doc-derived mapping predicted, because the point of citing sources
# is to be able to see where they were wrong.
code	name	exception_class	description	likely_cause	caller_action	provenance	cpu	firmware	measured	manual	revision	section	note
0x0000	normal_completion		Normal completion.			manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	Never raises. Present so that a decoder can look 0x0000 up like any other code instead of special-casing a falsy value.
0x4000	cpu_sum_check_error	SlmpCpuError	Common error: serial communication sum check error.	Serial MC protocol only; 3E/4E over Ethernet carry no sum check.	Not reachable from this library.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4001	cpu_unsupported_request	SlmpCpuUnsupportedRequestError	Common error: an unsupported request was executed.	The CPU does not implement this request.	Check the command data and the CPU model.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4002	cpu_unsupported_request_2	SlmpCpuUnsupportedRequestError	Common error: an unsupported request was executed.	The CPU serial number may not support the function.	Check the command data and the CPU serial number.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4005	cpu_data_too_large	SlmpCpuDataTooLargeError	Common error: the volume of data handled for the specified request is too large.		Reduce the request.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4006	cpu_initial_communication_failed	SlmpCpuError	Common error: initial communication has failed.		Shift the communication start timing.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4010	cpu_running	SlmpCpuRunningError	CPU module operation error: since the CPU module is running, the request contents cannot be executed.	This is the FX5's write-during-RUN refusal.	Set the CPU to STOP.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4013	cpu_not_stopped	SlmpCpuRunningError	CPU module operation error: since the CPU module is not in STOP, the request contents cannot be executed.		Set the CPU to STOP.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4021	cpu_drive_error	SlmpCpuFileError	File related error: the specified drive does not exist, or there is an error in it.		Check the drive.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4022	cpu_file_not_found	SlmpCpuFileError	File related error: the file with the specified name or number does not exist.		Check the file.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4025	cpu_file_in_use	SlmpCpuFileError	File related error: the specified file is processing a request from another engineering tool.		Retry later.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4027	cpu_range_larger_than_file	SlmpCpuFileError	File related error: the specified range is larger than the file size.		Reduce the range.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4029	cpu_file_capacity	SlmpCpuFileError	File related error: the specified file capacity cannot be obtained.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x402C	cpu_operation_not_currently_possible	SlmpCpuFileError	File related error: the requested operation cannot be executed at the moment.		Retry after a while.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4030	cpu_device_name_error	SlmpCpuDeviceSpecError	Device specification error: the specified device name cannot be handled.		Check the device code.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4031	cpu_device_number_out_of_range	SlmpCpuDeviceSpecError	Device specification error: the specified device number is outside the range, or the CPU module cannot handle the specified device.	The second half of the address-range story, alongside 0xC056.	Check the device number against the CPU's device assignment.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4032	cpu_device_modification_error	SlmpCpuDeviceSpecError	Device specification error: the device modification was incorrectly specified, or an unusable device (TS, TC, SS, SC, CS or CC) was specified in Read Random, Write Random in word units, Entry Monitor Device or Execute Monitor.	Contacts or coils in a random or monitor command.	Use the current-value device (TN, STN, CN) instead.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	Documented but NOT enforced: an FX5U-32MT/DS fw 1.065 accepted a 0403 with a TS0 word point and answered 0x0000 with data. See A-TS-IN-RANDOM.
0x4034	cpu_completion_device_off	SlmpCpuError	Device specification error: the completion device for a dedicated instruction did not turn on.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4040	cpu_module_request_error	SlmpCpuModuleError	Intelligent function module specification error: the request cannot be executed in the specified module.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4041	cpu_module_range_error	SlmpCpuModuleError	Intelligent function module specification error: the access range exceeds the buffer memory range of the specified module.		Reduce the range.	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
0x4042	cpu_module_not_accessible	SlmpCpuModuleError	Intelligent function module specification error: the specified module cannot be accessed.			manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
