# Model codes returned in the second field of an 0101 Read Type Name response
# (2 bytes little-endian in binary, 4 hex characters in ASCII).
#
# connect()'s identify step compares this code against the profile the caller declared
# and raises SlmpProfileMismatchError when it is not in the profile's set. There is no
# generic profile and no radix guess, so a model code that is absent from this table is
# an error the user resolves with `aslmp identify`, never a fallback.
#
# profile_key is empty for a code that identifies a FAMILY rather than a model
# (0x0360 RCPU): no profile may claim it.
code	model	family	profile_key	provenance	cpu	firmware	measured	host	medium	samples	manual	revision	section	note
0x0041	Q02CPU / Q02HCPU / Q02PHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0042	Q06HCPU / Q06PHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0043	Q12HCPU / Q12PHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0044	Q25HCPU / Q25PHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0230	QS001CPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0250	Q00JCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0251	Q00CPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0252	Q01CPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0268	Q03UDCPU / Q03UDECPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0269	Q04UDHCPU / Q04UDEHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x026A	Q06UDHCPU / Q06UDEHCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0360	RCPU	iq-r		manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	Catch-all returned when the connected station is not an iQ-R or MX module and an RCPU is read. It identifies a family, not a model, so no profile may claim it: connect() must raise SlmpProfileMismatchError.
0x0366	Q03UDVCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0367	Q04UDVCPU / Q04UDPVCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0368	Q06UDVCPU / Q06UDPVCPU	q	melsec:q	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0541	L02CPU / L02CPU-P	l	melsec:l	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0542	L26CPU-BT / L26CPU-PBT	l	melsec:l	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0543	L02SCPU / L02SCPU-P	l	melsec:l	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0544	L06CPU / L06CPU-P	l	melsec:l	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x0545	L26CPU / L26CPU-P	l	melsec:l	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4800	R04CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4801	R08CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4802	R16CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4803	R32CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4804	R120CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4805	R04ENCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4806	R08ENCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4807	R16ENCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4808	R32ENCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4809	R120ENCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4820	R12CCPU-V	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4841	R08PCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4842	R16PCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4843	R32PCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4844	R120PCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4851	R08PSFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4852	R16PSFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4853	R32PSFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4854	R120PSFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4891	R08SFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4892	R16SFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4893	R32SFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4894	R120SFCPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x48A0	R00CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x48A1	R01CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x48A2	R02CPU	iq-r	melsec:iq-r	manual							SH(NA)-080956ENG	M	CPU module model codes (p.138-139)	
0x4A21	FX5U-32MR/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A23	FX5U-64MR/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A24	FX5U-80MR/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A29	FX5U-32MT/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A2B	FX5U-64MT/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A2C	FX5U-80MT/ES	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A31	FX5U-32MT/ESS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A33	FX5U-64MT/ESS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A34	FX5U-80MT/ESS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A41	FX5U-32MR/DS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A43	FX5U-64MR/DS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A44	FX5U-80MR/DS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A49	FX5U-32MT/DS	iq-f	melsec:iq-f/fx5u	live	FX5U-32MT/DS	1.065	2026-09-06	192.168.10.41 (laptop)	wi-fi, ~7 ms median RTT		JY997D56001	K	Appendix, CPU module model codes (p.110)	0101 Read Type Name returned the 16-character name 'FX5U-32MT/DS    ' (space padded, ASCII even in binary coding) and model code 0x4A49, matching the manual exactly. This is the one model code we have seen come off a wire.
0x4A4B	FX5U-64MT/DS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A4C	FX5U-80MT/DS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A51	FX5U-32MT/DSS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A53	FX5U-64MT/DSS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A54	FX5U-80MT/DSS	iq-f	melsec:iq-f/fx5u	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A91	FX5UC-32MT/D	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A92	FX5UC-64MT/D	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A93	FX5UC-96MT/D	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A99	FX5UC-32MT/DSS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A9A	FX5UC-64MT/DSS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4A9B	FX5UC-96MT/DSS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4AA9	FX5UC-32MR/DS-TS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4AB1	FX5UC-32MT/DS-TS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
0x4AB9	FX5UC-32MT/DSS-TS	iq-f	melsec:iq-f/fx5uc	manual							JY997D56001	K	Appendix, CPU module model codes (p.110)	
