# iQ-F device ranges. `first`/`last`/`points` are INDEX values -- the integer that goes
# on the wire -- not the digits GX Works3 prints. `notation` is what GX Works3 prints,
# so X0 to X1777 is 1024 points with indices 0..1023, and the octal literal X20 is
# index 16.
#
# present=no rows exist so that V0, ZR0, DX0 and DY0 on an FX5 raise a typed refusal
# that names the CPU family, rather than being sent and coming back 0xC05C -- which is
# a request-content code and a poor diagnostic for "this CPU has no edge relays".
#
# An empty first/last/points on a present=yes row means there is no static range to
# validate, and the note says why. It never means "unknown".
#
# configurable=yes marks a range that GX Works3 can repartition, so the shipped figure
# is a DEFAULT that goes stale. profile.with_ranges() and `aslmp verify-ranges` exist
# for that; validate_ranges=False turns span checking off entirely, but device
# existence and point limits are properties of the silicon and are not defeatable.
profile_key	device	present	first	last	points	radix	notation	configurable	provenance	cpu	firmware	measured	host	medium	samples	manual	revision	section	note
melsec:iq-f/fx5u	X	yes	0	1023	1024	octal	X0 to X1777	no	live	FX5U-32MT/DS	1.065	2026-09-07				JY997D55301	F	2.6 Number of device points	GX Works3 shows octal digits; the wire carries the LINEAR index of that literal (Y20 -> 16), measured on FX5U-32MT/DS fw 1.065. Digits 8 and 9 are not legal in an X/Y literal and the CPU does NOT reject them, so the client must.
melsec:iq-f/fx5u	Y	yes	0	1023	1024	octal	Y0 to Y1777	no	live	FX5U-32MT/DS	1.065	2026-09-07				JY997D55301	F	2.6 Number of device points	See the X row: octal literal, linear wire number, client-side rejection of the digits 8 and 9.
melsec:iq-f/fx5u	M	yes	0	32767	32768	decimal	M0 to M32767	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	L	yes	0	32767	32768	decimal	L0 to L32767	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	F	yes	0	32767	32768	decimal	F0 to F32767	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	B	yes	0	32767	32768	hexadecimal	B0 to B7FFF	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	SB	yes	0	32767	32768	hexadecimal	SB0 to SB7FFF	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	S	yes	0	4095	4096	decimal	S0 to S4095	no	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	TS	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	TC	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	TN	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	STS	yes	0	1023	1024	decimal	ST0 to ST1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	STC	yes	0	1023	1024	decimal	ST0 to ST1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	STN	yes	0	1023	1024	decimal	ST0 to ST1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	CS	yes	0	1023	1024	decimal	C0 to C1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	CC	yes	0	1023	1024	decimal	C0 to C1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	CN	yes	0	1023	1024	decimal	C0 to C1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	LCS	yes	0	1023	1024	decimal	LC0 to LC1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	Present on FX5 per the device-range table, but only reachable with subcommand 0002/0003, which an FX5U rejects with 0xC059 (measured).
melsec:iq-f/fx5u	LCC	yes	0	1023	1024	decimal	LC0 to LC1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	Present on FX5 per the device-range table, but only reachable with subcommand 0002/0003, which an FX5U rejects with 0xC059 (measured).
melsec:iq-f/fx5u	LCN	yes	0	1023	1024	decimal	LC0 to LC1023	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	Present on FX5 per the device-range table, but only reachable with subcommand 0002/0003, which an FX5U rejects with 0xC059 (measured).
melsec:iq-f/fx5u	W	yes	0	32767	32768	hexadecimal	W0 to W7FFF	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	SW	yes	0	32767	32768	hexadecimal	SW0 to SW7FFF	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	SM	yes	0	9999	10000	decimal	SM0 to SM9999	no	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	SD	yes	0	11999	12000	decimal	SD0 to SD11999	no	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	Z	yes	0	23	24	decimal	Z0 to Z23	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	Z and LZ share one 24-word budget, so the two ceilings cannot both be taken.
melsec:iq-f/fx5u	LZ	yes	0	11	12	decimal	LZ0 to LZ11	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	One LZ point is two words. Z and LZ share one 24-word budget.
melsec:iq-f/fx5u	R	yes	0	32767	32768	decimal	R0 to R32767	yes	manual							JY997D55401	unknown	14.4 Range of use of device points	
melsec:iq-f/fx5u	D	yes	0	7999	8000	decimal	D0 to D7999	yes	live	FX5U-32MT/DS	1.065	2026-09-06	192.168.10.41 (laptop)	wi-fi, ~7 ms median RTT		JY997D55401	unknown	14.4 Range of use of device points	Confirmed on hardware: D7999 with 1 point returned 0x0000, D8000 returned 0xC056, and D7999 with 2 POINTS also returned 0xC056 -- which is why check_range validates the span and not the start address.
melsec:iq-f/fx5u	V	no							live	FX5U-32MT/DS	1.065	2026-09-06	192.168.10.41 (laptop)	wi-fi, ~7 ms median RTT		JY997D56001	K	4.2 Device range (p.66-67)	V0 (device code 0x94, 16 bits) returned 0xC05C. Edge relay. Marked FX5-incompatible in the FX5 device-range table.
