# iQ-R device ranges, from the CPU startup manual's default parameter assignment.
# Two profiles because the R00/R01/R02 and R04..R120 groups differ in X/Y/M.
#
# NOTHING in this file has been verified on hardware. We have never had an iQ-R.
#
# The R and ZR rows say zero points, and that is not a mistake: an out-of-the-box iQ-R
# has no file register at all, so SH(NA)-080956ENG's own ZR16384 example fails on it.
# The exception message has to say that rather than "address out of range".
profile_key	device	present	first	last	points	radix	notation	configurable	provenance	cpu	firmware	measured	host	medium	samples	manual	revision	section	note
melsec:iq-r/r00	X	yes	0	8191	8192	hexadecimal	X0 to X1FFF	no	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	Y	yes	0	8191	8192	hexadecimal	Y0 to Y1FFF	no	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	M	yes	0	8191	8192	decimal	M0 to M8191	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	B	yes	0	8191	8192	hexadecimal	B0 to B1FFF	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	SB	yes	0	2047	2048	hexadecimal	SB0 to SB7FF	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	F	yes	0	2047	2048	decimal	F0 to F2047	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	V	yes	0	2047	2048	decimal	V0 to V2047	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	L	yes	0	8191	8192	decimal	L0 to L8191	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	D	yes	0	18431	18432	decimal	D0 to D18431	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	W	yes	0	8191	8192	hexadecimal	W0 to W1FFF	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	SW	yes	0	2047	2048	hexadecimal	SW0 to SW7FF	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	SM	yes	0	4095	4096	decimal	SM0 to SM4095	no	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	SD	yes	0	4095	4096	decimal	SD0 to SD4095	no	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	TS	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	TC	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	TN	yes	0	1023	1024	decimal	T0 to T1023	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
melsec:iq-r/r00	LTS	yes	0	1023	1024	decimal	LT0 to LT1023	yes	manual							SH(NA)-081263ENG	AA	2.1 Performance specifications, device points (p.47, p.49-50)	
